organization;top 3 repo;stars_count;languages;ros_repos;name_parts
ros-acceleration;['robotic_processing_unit', 'community', 'acceleration_examples', 'adaptive_component', 'acceleration_firmware_kv260'];304;['Python', 'Cuda', 'CMake', 'Tcl', 'C++', 'C'];['ros2_kria', 'isaac_ros_image_pipeline'];['community', 'ament', 'vitis', 'acceleration', 'firmware', 'kv260', 'acceleration', 'firmware', 'acceleration', 'examples', 'ros2acceleration', 'acceleration', 'firmware', 'zcu102', 'vitis', 'common', 'tracetools', 'acceleration', 'ament', 'hardware', 'acceleration', 'acceleration', 'firmware', 'ultra96v2', 'adaptive', 'component', 'image', 'pipeline', 'ros2', 'kria', 'isaac', 'ros', 'image', 'pipeline', 'ament', 'cuda', 'acceleration', 'firmware', 'jetson', 'nano', 'acceleration', 'firmware', 'kr260', 'robotic', 'processing', 'unit', '.github']
Aceinna;['gnss-ins-sim', 'python-openimu', 'platform-aceinna_imu', 'ublox_decoder', 'openRTK330-lib'];1430;['Python', 'Shell', 'MATLAB', 'Objective-C', 'Prolog', 'C', 'CSS', 'HTML', 'M', 'JavaScript', 'CMake', 'QMake', 'Fortran', 'C++', 'Assembly', 'Batchfile', 'Pascal', 'Makefile'];['aceinna_openrtk_ros_driver'];['platform', 'aceinna_imu', 'python', 'imu380', 'gnss', 'ins', 'sim', 'python', 'mtlt', 'docs_aceinna', 'dmu380', 'can', 'j1939', 'doc', 'python', 'openimu', 'python', 'ins1000', 'docs', 'ins1000', 'gnsstools', 'imu381', 'spidriver', 'c', 'mongodb', 'cpp', 'openimu', 'openIMU300', 'lib', 'python', 'spi', 'OpenIMU330', 'lib', 'ublox', 'decoder', 'span', 'decoder', 'docs', 'openrtk', 'keystone', 'mongoosastic', 'openRTK330', 'lib', 'rpi', 'logger', 'rtklib', 'bin', 'aceinna', 'rtklib', 'aceinna', 'INS2000', 'FR2', 'Open', 'LINK', 'ins2000', 'NVIDIA', 'IMU', 'Plugin', 'aceinna', 'openrtk', 'ros', 'driver']
Accenture;['adop-docker-compose', 'Ocaramba', 'adop-jenkins', 'adop-platform-management', 'adop-gerrit'];1388;['HCL', 'Dockerfile', 'PowerShell', 'ApacheConf', 'C++', 'C', 'C#', 'Ruby', 'HTML', 'JavaScript', 'R', 'Groovy', 'Python', 'Shell', 'Java', 'Nginx', 'Roff', 'Batchfile', 'XSLT', 'Perl 6', 'Gherkin', 'Thrift', 'Scala', 'CSS'];[];['mahout', 'timeseriesr', 'environment', 'dashboard', 'scalacheck', 'examples', 'scalacheck', 'contrib', 'rhbase', 'caspanda', 'Ocaramba', 'python', 'forecast.io', 'alexa', 'pokitdok', 'generator', 'mario', 'adop', 'docker', 'compose', 'adop', 'platform', 'management', 'adop', 'nginx', 'adop', 'ldap', 'adop', 'gerrit', 'adop', 'sensu', 'adop', 'sonar', 'adop', 'jenkins', 'adop', 'jenkins', 'worker', 'adop', 'nexus', 'adop', 'logstash', 'tldr', 'tldr', 'promdash', 'tldr', 'prometheus', 'tldr', 'logstash', 'tldr', 'todo', 'client', 'tldr', 'kibana', 'tldr', 'elasticsearch', 'tldr', 'logspout']
accerion;['gazebo_ros_2d_map_plugin', 'librover', 'pepperl_fuchs', 'jackal'];0;['Python', 'Shell', 'CMake', 'C++', 'Batchfile'];['gazebo_ros_2d_map_plugin'];['gazebo', 'ros', '2d', 'map', 'plugin', 'librover', 'pepperl', 'fuchs', 'jackal']
Accio-Robotics;[];0;[];[];[]
Active8Robots;['AR10', 'moveit.ros.org'];5;['Python', 'Ruby', 'HTML', 'PHP', 'JavaScript', 'CMake', 'CSS'];[];['A', 'R10', 'moveit.ros.org']
adastec;[];0;[];[];[]
addverbtech;[];0;[];[];[]
adinkratech;[];0;[];[];[]
adlatusrobotics;['navigation2', 'carebt_ros2', 'stage_ros', 'sick_scan2'];0;['Python', 'Shell', 'Jupyter Notebook', 'CMake', 'Dockerfile', 'C++', 'C'];['carebt_ros2', 'stage_ros'];['navigation2', 'carebt', 'ros2', 'stage', 'ros', 'sick', 'scan2']
adlink;['meta-adlink-nxp', 'meta-adlink-x86-64bit', 'sema-linux', 'meta-adlink-sema', 'meta-adlink-rockchip'];45;['Cuda', 'Haskell', 'BitBake', 'Rich Text Format', 'CMake', 'Pawn', 'C++', 'GDB', 'C', 'DenizenScript', 'HTML', 'ASL', 'GAP', 'R', 'Fortran', 'Makefile', 'Python', 'Shell', 'ANTLR', 'M4', 'Roff', 'NASL', 'Tcl', 'Batchfile', 'XSLT', 'Objective-C', 'SourcePawn', 'NSIS', 'Perl', 'Assembly'];[];['meta', 'adlink', 'x86', '64bit', 'meta', 'adlink', 'sema', 'meta', 'adlink', 'nxp', 'meta', 'adlink', 'rockchip', 'sema', 'windows', 'sema', 'linux', 'mraa', 'litebmc', 'fwupd', 'ec', 'fwupd', 'adlink', 'manifest', 'nxp', 'w8997', 'fwimage', 'meta', 'adlink', 'ampere', 'mwifiex', 'adlink', 'u', 'boot', 'adlink', 'meta', 'adlink', 'demo', 'edk2', 'old', 'Open', 'Platform', 'Pkg', 'eigen', 'adlink', 'bcm560xx', 'edk2', 'aadp', 'edk2', 'platforms', 'old', 'edk2', 'ampere', 'tools', 'edk2_adlink', 'ampere', 'altra', 'sbsa', 'acs', 'iot', 'plugandplay', 'models', 'ampere', 'openocd', 'imx8mp', 'android', 'mtk', 'lec', 'i1200_tools', 'meta', 'adlink', 'mtk', 'mtk', '1200', 'android']
amd;['OpenCL-caffe', 'blis', 'aocl-libm-ose', 'Chromium-WebCL', 'ZenDNN'];1465;['MATLAB', 'Cuda', 'Smalltalk', 'BitBake', 'OCaml', 'Yacc', 'CMake', 'Dockerfile', 'Pawn', 'PowerShell', 'C++', 'C', 'F#', 'C#', 'Ruby', 'TypeScript', 'HTML', 'TeX', 'JavaScript', 'Fortran', 'Groovy', 'Emacs Lisp', 'Makefile', 'Python', 'Shell', 'Awk', 'Java', 'Visual Basic .NET', 'DTrace', 'ASP.NET', 'M4', 'Go', 'Meson', 'Objective-C++', 'Roff', 'NASL', 'Tcl', 'XQuery', 'OpenEdge ABL', 'Batchfile', 'XSLT', 'RouterOS Script', 'Objective-C', 'SourcePawn', 'Prolog', 'PHP', 'Standard ML', 'Lua', 'Perl', 'Assembly', 'CSS'];[];['Chromium', 'WebCL', 'existdb', 'node', 'node', 'unzip', 'furious.js', 'OpenCL', 'caffe', 'convnet', 'benchmarks', 'blis', 'libflame', 'amd', 'fftw', 'win', 'libm', 'aocl', 'spack', 'scalapack', 'spack', 'roc', 'ALUTION', 'aocl', 'libm', 'ose', 'esmi', 'ib', 'library', 'aocl', 'sparse', 'esmi', 'oob', 'library', 'tools', 'and', 'sdks', 'aocl', 'scalapack', 'firmware', 'binaries', 'dotnet', 'runtime', 'amd', 'hsmp', 'amd', 'energy', 'Zen', 'DNN', 'mumps', 'build', 'go', 'amd', 'smi', 'amd', 'smi', 'exporter', 'apml', 'modules', 'UIF']
advanced-navigation/;[];0;[];[];[]
aeolusbot;['csm', 'tensorflow-cmake', 'optitrack', 'corrade', 'imgui'];1;['Python', 'Shell', 'Objective-C', 'Ruby', 'GLSL', 'CSS', 'Objective-C++', 'HTML', 'JavaScript', 'CMake', 'Batchfile', 'GDB', 'C++', 'C', 'Makefile'];[];['tensorflow', 'cmake', 'optitrack', 'csm', 'corrade', 'imgui', 'magnum', 'integration', 'magnum', 'plugins', 'magnum', 'RBOT', 'ansible', 'role', 'nvidia', 'driver']
AeroVect;['open-autonomous-safety', 'ublox', 'phidgets_drivers', 'pure_pursuit', 'A-LOAM'];0;['Python', 'Shell', 'Cuda', 'MATLAB', 'Jupyter Notebook', 'JavaScript', 'CMake', 'Dockerfile', 'C++', 'C', 'Makefile'];['ros2_numpy', 'ros2_message_converter', 'HesaiLidar_ROS_2.0'];['open', 'autonomous', 'safety', 'ublox', 'phidgets', 'drivers', 'pure', 'pursuit', 'A', 'LOAM', 'SC', 'LeGO', 'LOAM', 'conditional', 'lane', 'detection', 'mmdetection3d', 'ros2', 'numpy', 'pandaset', 'devkit', 'ros2', 'message', 'converter', 'HesaiLidar', 'ROS', '2.0', 'Multi', 'LiCa', 'RT', 'DETR', 'patchwork', 'plusplus', 'Object', 'Detection', 'Metrics', 'direct', 'lidar', 'odometry']
aevainc;['Doppler-ICP', 'carla', 'Open3D', 'carla-aeva'];191;['Python', 'Cuda', 'Shell', 'C#', 'GLSL', 'CSS', 'Objective-C++', 'HTML', 'JavaScript', 'CMake', 'Dockerfile', 'Batchfile', 'C++', 'C', 'Makefile'];[];['Open3', 'D', 'Doppler', 'ICP', 'carla', 'carla', 'aeva']
agco;['harvesterjs', 'dokku-registry', 'hapi-harvester', 'elastic-harvesterjs', 'harvestergs-routing'];129;['Shell', 'Gherkin', 'HTML', 'CoffeeScript', 'JavaScript', 'Dockerfile', 'Groovy', 'CSS', 'Makefile'];[];['harvesterjs', 'angular', 'oauth', 'dokku', 'registry', 'dokku', 'local', 'sandbox', 'harvest', 'mongodb', 'elastic', 'harvesterjs', 'swagger', 'ui', 'prez', 'agco', 'alm', 'agco', 'json', 'api', 'profiles', 'developer', 'agcocorp', 'website', 'agco', 'nodejs', 'recipes', 'buildstep', 'event', 'source', 'stream', 'agco', 'openam', 'login', 'docker', 'rabbitmq', 'mqtt', 'harvestergs', 'routing', 'sa', 'ddi', 'harvester', 'swagger', 'openam', 'oauth2', 'demo', 'iam', 'setup', 'module', 'passport', 'openam', 'sse', 'checkpointing', 'consumer', 'bunny', 'paws', 'hapi', 'harvester', 'dead', 'rabbit', 'harvester', 'utils', 'node', 'offworld', 'heapdumper', 'rabbit', 'stew', 'elasticsearch', 'reindexer', 'hapi', 'passport']
agilexrobotics;[];0;[];[];[]
