organization;top 3 repo;stars_count;languages;ros_repos;name_parts
ros-acceleration;['robotic_processing_unit', 'community', 'acceleration_examples', 'adaptive_component', 'acceleration_firmware_kv260'];317;['Cuda', 'Python', 'C++', 'Tcl', 'C', 'CMake'];['ros2_kria', 'isaac_ros_image_pipeline'];['community', 'ament', 'vitis', 'acceleration', 'firmware', 'kv260', 'acceleration', 'firmware', 'acceleration', 'examples', 'ros2acceleration', 'acceleration', 'firmware', 'zcu102', 'vitis', 'common', 'tracetools', 'acceleration', 'ament', 'hardware', 'acceleration', 'acceleration', 'firmware', 'ultra96v2', 'adaptive', 'component', 'image', 'pipeline', 'ros2', 'kria', 'isaac', 'ros', 'image', 'pipeline', 'ament', 'cuda', 'acceleration', 'firmware', 'jetson', 'nano', 'acceleration', 'firmware', 'kr260', 'robotic', 'processing', 'unit', '.github']
Aceinna;['gnss-ins-sim', 'python-openimu', 'platform-aceinna_imu', 'ublox_decoder', 'openRTK330-lib'];1497;['JavaScript', 'Shell', 'MATLAB', 'M', 'Python', 'Makefile', 'CSS', 'C++', 'Objective-C', 'Pascal', 'C', 'CMake', 'HTML', 'Assembly', 'Fortran', 'QMake', 'Prolog', 'Batchfile'];['aceinna_openrtk_ros_driver'];['platform', 'aceinna_imu', 'python', 'imu380', 'gnss', 'ins', 'sim', 'python', 'mtlt', 'docs_aceinna', 'dmu380', 'can', 'j1939', 'doc', 'python', 'openimu', 'python', 'ins1000', 'docs', 'ins1000', 'gnsstools', 'imu381', 'spidriver', 'c', 'mongodb', 'cpp', 'openimu', 'openIMU300', 'lib', 'python', 'spi', 'OpenIMU330', 'lib', 'ublox', 'decoder', 'span', 'decoder', 'docs', 'openrtk', 'keystone', 'mongoosastic', 'openRTK330', 'lib', 'rpi', 'logger', 'rtklib', 'bin', 'aceinna', 'rtklib', 'aceinna', 'INS2000', 'FR2', 'Open', 'LINK', 'ins2000', 'NVIDIA', 'IMU', 'Plugin', 'aceinna', 'openrtk', 'ros', 'driver']
Accenture;['adop-docker-compose', 'Ocaramba', 'adop-jenkins', 'adop-platform-management', 'adop-gerrit'];1390;['PowerShell', 'JavaScript', 'Thrift', 'R', 'C++', 'HTML', 'Ruby', 'CSS', 'Scala', 'Java', 'Groovy', 'HCL', 'XSLT', 'Shell', 'Python', 'Perl 6', 'Roff', 'Nginx', 'Dockerfile', 'Gherkin', 'ApacheConf', 'C', 'C#', 'Batchfile'];[];['mahout', 'timeseriesr', 'environment', 'dashboard', 'scalacheck', 'examples', 'scalacheck', 'contrib', 'rhbase', 'caspanda', 'Ocaramba', 'python', 'forecast.io', 'alexa', 'pokitdok', 'generator', 'mario', 'adop', 'docker', 'compose', 'adop', 'platform', 'management', 'adop', 'nginx', 'adop', 'ldap', 'adop', 'gerrit', 'adop', 'sensu', 'adop', 'sonar', 'adop', 'jenkins', 'adop', 'jenkins', 'worker', 'adop', 'nexus', 'adop', 'logstash', 'tldr', 'tldr', 'promdash', 'tldr', 'prometheus', 'tldr', 'logstash', 'tldr', 'todo', 'client', 'tldr', 'kibana', 'tldr', 'elasticsearch', 'tldr', 'logspout']
accerion;['gazebo_ros_2d_map_plugin', 'librover', 'pepperl_fuchs', 'jackal', 'accerionbindings_jll'];0;['Shell', 'Julia', 'Python', 'C++', 'CMake', 'Batchfile'];['gazebo_ros_2d_map_plugin'];['gazebo', 'ros', '2d', 'map', 'plugin', 'librover', 'pepperl', 'fuchs', 'jackal', 'accerionbindings', 'jll']
Accio-Robotics;[];0;[];[];[]
Active8Robots;['AR10', 'moveit.ros.org'];5;['JavaScript', 'Python', 'CMake', 'HTML', 'Ruby', 'PHP', 'CSS'];[];['A', 'R10', 'moveit.ros.org']
adastec;[];0;[];[];[]
addverbtech;[];0;[];[];[]
adinkratech;[];0;[];[];[]
adlatusrobotics;['navigation2', 'carebt_ros2', 'stage_ros', 'sick_scan2'];0;['Shell', 'Python', 'C++', 'Jupyter Notebook', 'C', 'CMake', 'Dockerfile'];['carebt_ros2', 'stage_ros'];['navigation2', 'carebt', 'ros2', 'stage', 'ros', 'sick', 'scan2']
adlink;['meta-adlink-nxp', 'meta-adlink-x86-64bit', 'sema-linux-ec', 'meta-adlink-ampere', 'meta-adlink-sema'];50;['Makefile', 'C++', 'GAP', 'R', 'CMake', 'HTML', 'Fortran', 'NASL', 'SourcePawn', 'Perl', 'XSLT', 'ANTLR', 'Shell', 'Cuda', 'M4', 'Python', 'Objective-C', 'Roff', 'GDB', 'Assembly', 'NSIS', 'Rich Text Format', 'DenizenScript', 'BitBake', 'Pawn', 'Tcl', 'Haskell', 'C', 'ASL', 'Batchfile'];[];['meta', 'adlink', 'x86', '64bit', 'meta', 'adlink', 'sema', 'meta', 'adlink', 'nxp', 'meta', 'adlink', 'rockchip', 'sema', 'windows', 'sema', 'linux', 'ec', 'mraa', 'litebmc', 'fwupd', 'ec', 'fwupd', 'adlink', 'manifest', 'nxp', 'w8997', 'fwimage', 'meta', 'adlink', 'ampere', 'mwifiex', 'adlink', 'u', 'boot', 'adlink', 'meta', 'adlink', 'demo', 'edk2', 'old', 'Open', 'Platform', 'Pkg', 'eigen', 'adlink', 'bcm560xx', 'edk2', 'aadp', 'edk2', 'platforms', 'old', 'edk2', 'ampere', 'tools', 'edk2_adlink', 'ampere', 'altra', 'sbsa', 'acs', 'iot', 'plugandplay', 'models', 'ampere', 'openocd', 'imx8mp', 'android', 'mtk', 'lec', 'i1200_tools', 'meta', 'adlink', 'mtk', 'mtk', '1200', 'android']
