organization;description;twitter_link;repo_name;repo_stars;repo_topics;repo_languages;repo_half_year_commits;repo_last_commit_date
ros-acceleration;Drive creation, maintenance and testing of hardware acceleration for ROS 2 and Gazebo.;;;;;;;
 ; ; ;community;60;['cpu', 'fpga', 'gpu', 'hardware', 'hardware-acceleration', 'robotics', 'ros2'];('%',);0;2024-01-04T09:54:23Z
 ; ; ;ament_vitis;7;[];('CMake: 100.0%',);0;2023-08-14T09:36:49Z
 ; ; ;acceleration_firmware_kv260;10;['acceleration', 'fpga', 'hardware', 'hardware-acceleration', 'kv260', 'robotics', 'ros', 'ros2', 'xilinx'];('CMake: 100.0%',);0;2022-11-09T11:32:38Z
 ; ; ;acceleration_firmware;0;[];('CMake: 100.0%',);0;2021-09-09T08:17:35Z
 ; ; ;acceleration_examples;41;['fpga', 'gpu', 'hardware-acceleration', 'ros2'];('C++: 48.70051274748906%, Python: 40.050055932798585%, CMake: 6.170829748284305%, Tcl: 5.078601571428054%',);0;2023-10-25T12:24:05Z
 ; ; ;ros2acceleration;0;[];('Python: 100.0%',);0;2022-03-29T13:46:10Z
 ; ; ;acceleration_firmware_zcu102;0;['acceleration', 'fpga', 'hardware', 'hardware-acceleration', 'kv260', 'robotics', 'ros', 'ros2', 'xilinx'];('%',);0;2022-03-16T11:30:51Z
 ; ; ;vitis_common;0;['fpga', 'hardware', 'hardware-acceleration', 'robotics', 'ros2', 'vitis', 'xilinx'];('C++: 99.78711413332485%, C: 0.14412638177060974%, CMake: 0.06875948490453702%',);0;2022-09-21T07:20:29Z
 ; ; ;tracetools_acceleration;0;['fpga', 'gpu', 'hardware-acceleration', 'lttng', 'robotics', 'ros', 'ros2'];('C: 53.4435261707989%, C++: 27.03723451524038%, CMake: 19.51923931396072%',);0;2022-03-30T09:21:14Z
 ; ; ;ament_hardware_acceleration;0;[];('CMake: 100.0%',);0;2022-10-12T16:59:39Z
 ; ; ;acceleration_firmware_ultra96v2;5;['acceleration', 'fpga', 'hardware', 'hardware-acceleration', 'robotics', 'ros', 'ros2', 'ultra96v2', 'xilinx'];('%',);0;2022-06-20T23:20:33Z
 ; ; ;adaptive_component;11;['adaptive', 'component', 'cpu', 'fpga', 'gpu', 'hardware-acceleration', 'node', 'robotics', 'ros', 'ros2', 'som'];('C++: 85.98966026587888%, CMake: 14.010339734121123%',);0;2022-04-14T07:22:07Z
 ; ; ;image_pipeline;3;[];('C++: 67.77594865490008%, Python: 21.440549424155318%, C: 7.567633372121462%, CMake: 3.21586854882314%',);0;2023-10-05T09:34:05Z
 ; ; ;ros2_kria;1;['fpga', 'hardware-acceleration', 'kria', 'robotics', 'ros', 'ros2', 'som'];('Python: 39.695027195027194%, C++: 37.257187257187255%, CMake: 14.024864024864025%, C: 9.022921522921523%',);0;2022-06-27T07:41:17Z
 ; ; ;isaac_ros_image_pipeline;0;[];('Python: 44.359382249618875%, C++: 44.065531031130554%, Cuda: 7.2208965776275384%, CMake: 4.354190141623031%',);0;2022-03-29T07:44:42Z
 ; ; ;ament_cuda;2;[];('CMake: 100.0%',);0;2022-03-29T08:03:43Z
 ; ; ;acceleration_firmware_jetson_nano;6;[];('CMake: 100.0%',);0;2022-03-29T08:28:52Z
 ; ; ;acceleration_firmware_kr260;9;['fpga', 'hardware', 'hardware-acceleration', 'ros', 'ros2', 'ubuntu'];('CMake: 100.0%',);0;2022-11-09T11:30:02Z
 ; ; ;robotic_processing_unit;149;['acceleration', 'cpu', 'fpga', 'gpu', 'hardware', 'hardware-acceleration', 'hardwareaccelerated', 'hardwareaccelerator', 'robotic-processing-unit', 'robotics', 'robots', 'ros', 'ros2', 'rpu'];('%',);0;2023-04-12T10:27:55Z
 ; ; ;.github;0;[];('%',);0;2022-10-10T03:37:34Z
Aceinna;Open-source Inertial Navigation, GPS/INS, AHRS and Simulation Software for the Aceinna Navigation Platform;;;;;;;
 ; ; ;platform-aceinna_imu;36;['platformio', 'platformio-platform'];('Python: 100.0%',);1;2024-05-20T14:27:51Z
 ; ; ;python-imu380;4;[];('Python: 100.0%',);0;2019-06-06T21:09:02Z
 ; ; ;gnss-ins-sim;1205;['gnss', 'gps', 'imu', 'inertial-navigation-systems', 'integrated-navigation'];('Python: 92.2324464615342%, C: 7.649026384089048%, CMake: 0.11852715437676091%',);2;2024-07-08T08:10:31Z
 ; ; ;python-mtlt;5;[];('Python: 100.0%',);0;2020-05-06T08:18:49Z
 ; ; ;docs_aceinna-dmu380;3;[];('Python: 90.27262461687368%, Makefile: 9.727375383126311%',);0;2021-05-24T14:43:35Z
 ; ; ;can_j1939_doc;3;[];('Python: 78.81699444527848%, Batchfile: 12.145323524996247%, Makefile: 9.037682029725266%',);0;2018-04-18T17:55:30Z
 ; ; ;python-openimu;48;[];('Python: 100.0%',);0;2023-03-31T03:00:26Z
 ; ; ;python-ins1000;2;[];('Python: 100.0%',);0;2020-03-13T05:02:43Z
 ; ; ;docs_ins1000;1;[];('Python: 90.01979544704717%, Makefile: 9.98020455295282%',);0;2019-06-18T07:49:35Z
 ; ; ;gnsstools;5;[];('C++: 99.6510382475901%, C: 0.3489617524099091%',);0;2018-12-21T20:58:17Z
 ; ; ;imu381-spidriver-c;2;[];('C: 100.0%',);0;2019-01-10T01:46:43Z
 ; ; ;mongodb;0;[];('JavaScript: 93.25073964497041%, HTML: 6.749260355029586%',);0;2019-01-15T02:08:50Z
 ; ; ;cpp-openimu;5;[];('C++: 91.59422122467043%, C: 8.40577877532956%',);0;2019-08-13T14:32:40Z
 ; ; ;openIMU300-lib;8;[];('C: 99.45789902407986%, Assembly: 0.542100975920136%',);0;2022-09-28T19:36:28Z
 ; ; ;python-spi;2;[];('Python: 57.04022464534481%, C: 42.95977535465519%',);0;2021-04-23T09:33:37Z
 ; ; ;OpenIMU330-lib;7;[];('C: 99.1107925308849%, C++: 0.7738509622130781%, Assembly: 0.11535650690202418%',);0;2019-12-08T17:30:42Z
 ; ; ;ublox_decoder;30;[];('C: 97.05074646738679%, C++: 2.9492535326132185%',);0;2021-02-09T07:05:37Z
 ; ; ;span_decoder;7;[];('C++: 92.0114503816794%, C: 7.988549618320611%',);0;2021-03-01T13:46:28Z
 ; ; ;docs_openrtk;12;[];('Python: 90.28046421663443%, Makefile: 9.71953578336557%',);0;2022-04-06T20:53:37Z
 ; ; ;keystone;1;[];('JavaScript: 94.1086548438453%, CSS: 4.528661836606994%, HTML: 1.3398267198176903%, Shell: 0.02285659973002056%',);0;2019-09-11T03:07:58Z
 ; ; ;mongoosastic;1;[];('JavaScript: 99.30727766805755%, HTML: 0.4521628083096981%, Shell: 0.15888808042409752%, CSS: 0.08167144320864826%',);0;2019-12-27T01:21:50Z
 ; ; ;openRTK330-lib;21;[];('C: 99.7853123374474%, Assembly: 0.16132059114202976%, CMake: 0.028652383301912072%, Makefile: 0.024714688108666113%',);0;2021-07-08T03:25:11Z
 ; ; ;rpi_logger;3;[];('Python: 100.0%',);0;2020-02-17T22:53:21Z
 ; ; ;rtklib_bin_aceinna;1;[];('%',);0;2021-02-10T03:41:14Z
 ; ; ;rtklib_aceinna;15;[];('C: 42.27449212388796%, C++: 29.212230826005392%, Pascal: 16.459703214823787%, MATLAB: 4.2749517408462445%, Objective-C: 4.089876303360732%, Fortran: 1.8948730894270924%, Makefile: 0.5724650827141271%, JavaScript: 0.3720314680900333%, Batchfile: 0.36819505812725273%, HTML: 0.23072370112761617%, QMake: 0.19188318457632808%, Shell: 0.04172409266710355%, Prolog: 0.011785050212463143%, M: 0.005065064133867137%',);0;2021-02-09T07:27:54Z
 ; ; ;INS2000_FR2;1;[];('MATLAB: 72.01630118377643%, Python: 27.98369881622356%',);0;2020-11-02T06:15:30Z
 ; ; ;OpenLINK;1;[];('%',);0;2021-02-02T02:23:41Z
 ; ; ;ins2000;0;[];('%',);3;
 ; ; ;NVIDIA_IMU_Plugin;0;[];('C++: 94.11990776325904%, CMake: 5.8800922367409685%',);0;2021-05-25T21:20:16Z
 ; ; ;aceinna_openrtk_ros_driver;1;[];('C++: 90.05294146068734%, CMake: 6.232873402955611%, C: 2.129392519171435%, Python: 1.5847926171856126%',);0;2021-06-17T01:50:57Z
Accenture;Accenture Github site;;;;;;;
 ; ; ;mahout;2;[];('Java: 83.93217440273727%, Scala: 11.64027215441717%, Perl 6: 3.8393814590588122%, Shell: 0.3817687339401692%, Batchfile: 0.17686889782631665%, XSLT: 0.029534352020250842%',);0;2016-09-10T03:30:34Z
 ; ; ;timeseriesr;1;[];('R: 84.3484965304549%, C++: 15.651503469545105%',);0;2015-05-08T20:51:16Z
 ; ; ;environment-dashboard;2;[];('Java: 97.91283967821626%, CSS: 2.087160321783746%',);0;2015-01-09T21:08:35Z
 ; ; ;scalacheck-examples;0;[];('Scala: 86.04867606682488%, Java: 13.62092233235609%, Shell: 0.3304016008190237%',);0;2012-11-20T21:42:10Z
 ; ; ;scalacheck-contrib;0;[];('Scala: 100.0%',);0;2020-12-22T15:34:10Z
 ; ; ;rhbase;0;[];('C++: 89.98661847176236%, R: 6.9770733707588075%, Thrift: 2.9979292924133887%, C: 0.03837886506545567%',);0;2015-02-02T22:09:13Z
 ; ; ;caspanda;1;[];('Python: 97.52507775198212%, Shell: 2.474922248017872%',);0;2015-05-26T20:12:31Z
